Conditions,                                              SYMPTOMS.       ,,,,,,,,,,,,,,,,,,,drug class,BRAND NAME,api strength unit - mg or ml or ,API - 1,API-1 Strength,API - 2 ,API-2 Strength,API - 3,API-3 Strength,FORM,                     BEFORE MEAL,,,                            AFTER MEAL,,,DOSAGE,                     DAYS,,NO. OF DAYS,QUANTITY OF MEDICINE,,REFER THE PATIENT TO A SPECIALIST,,             IS FOLLOW UP REQUIRED,,,     DATE OF FOLLOW UP,,    INSTRUCTIONS FOR APPLICATION,,,                                                                      CLINICAL ADVICE,,,,,,,,,,,,,,,,,
Ulcerative colitis ,"Pain in abdomen, joints, rectum", rectal bleeding associated with Blood in stool,fever ,diarrhea often with blood or pus,Anaemia,abdominal cramping,leaking of stools or urgent need to defecate,,"Blood tests, Stool studies ","Colonoscopy, Flexible sigmoidoscopy","X-ray abdomen, CT-abdomen scan, CT enterography, MR enterography ",,,,,,,,,"Anti-inflammatory drugs, Immunosuppresants, Biologics, Antispasmodics, Iron supplements ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbilical hernia ,soft swelling or bulging near the navel," bulge is very tender, swollen or discolored ",painful or discomfort if the hernia is large,sudden vomiting,,,,,"Physical examination, Medical history ","X-ray, Ultrasound, Blood tests ",,,,,,,,,,Herniorrhaphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type 2 Dibeates,"Increases thirst, frequent urination",Increased hunger,"Urinated weight loss, Frequent infections",Fatigue,blurred vision,slow healing sores,,,Glycated haemaglobin (A1C) test,Blood sugar test,Oral glucose tolerance test,Fasting blood sugar test,,,,,,,,"Anti-diabetic drug, statin, insulin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grave's disease,Anxiety and irritability,A fine tremors of the hands,Enlargement of thyroid gland,"Weight loss, despite normal eating habits",,,,,Blood test ,Radioactive iodine uptake,Ultrasound test,Imaging test,,,,,,,,"Antithyroid agent, Beta blocker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperthyroidism,"Excess sweating, excessive hunger, fatigue","Hyperactivity, irritability or restlessness","Abnormal heart rhythm, Fast heart rate ",Difficulty falling asleep or insomnia,,,,,Blood test,Thyroid scan test,Radioiodine uptake test,Thyroid ultrasound,,,,,,,,"Anti-thyroid agent, beta blocker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type 1 diabetes,"Increase thirst, frequent urination",Fatigue and weekness,Irritability and other mood changes,"Upset stomach, urinated weight loss",,,,,Fasting blood glucose test,Glycated haemoglobin (A1C) test,Random blood sugar test,Glucose tolerance test,,,,,,,,"Insulin, hormones ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psoriasis,"Rashes or patches of red, inflamed skin ",Swollen and stiff joints and pain in joints ,"Itchy, painful skin that can crack or bleed",Scaly plaque on the scalp ,,,,,Skin biopsy,Seborrheic dermatitis test,Radiology,Skin scraping and nail clipping,,,,,,,,"Steroid, vitamin A derivative, Anti inflammatory, immunosuppresive drugs",Humira,mg,Adalimumab,,,,,,,,,,,,,,,Day 1 (2pens) day 8(1pen),,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Radhika Dua,,https://www.1mg.com/generics/adalimumab-213407,,
Alopecia areata,Sudden loosing of hair ,Circular or patchy bold spots,Full body hair loss,Patches of scaling over the scalp,,,,,Flormone test,Scalp biopsy,"Blood test, completely blood count test",Thyroid level test,,,,,,,,"Steroid, Vasodilator, Anti-inflammatory and immunosuppressive drug",Rogaine 5%,%,Minoxidil,5%,,,,,,1,,,1,,,2,Yes,,,,,,,,,,,,,,,"avoid grains, legumes, nightshades (such as potatoes and peppers), dairy, eggs, coffee, alcohol, sugar, oil and food additives.",,,,,,,,,,,,,Dr.Shreya Gupta,,https://www.1mg.com/drugs/regaine-5-solution-126464,,
Fungal infection,Redness or blister on affected area,"Itching, stinging or burning sensation in the infected area ",Skin may scale and peel away,Peeling and cracking skin,,,,,"Skin test, blood test",Fungual culture test,Serological test,PCR or direct examinations,,,,,,,,Anti fungal agents,Canestan,%,Clotrimazole,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr.Shreya Gupta,,https://www.1mg.com/drugs/canesten-cream-559830,,
Skin aging,"Rough, dry and itchy skin ","Discoloration, look hard skin ",Blotchiness and age spots,"Large pores, dark under eye circles",,,,,Patch testing,Skin biopsy,Culture test,Dermoscopy,,,,,,,,"Retinoids, Vitamin C, Anti oxidations , alpha hydroxy acids, senolytics",Tretin 0.025% Cream,%,Tretinoin,0.025,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,protect skin from sun,dont smoke,"eat healthy, well-balanced diet",,,,,,,,,,,Dr.Shreya Gupta,,https://www.1mg.com/drugs/tretin-0.025-cream-147582,,
Scrotal Abcess,Sudden pain,"Pain that radiates throughout the groin, abdomen or lower back",Redness of the skin of the scrotum,,,,,,Physical Exam,Ultrasound,Urine Test,Blood Test,,,,,,,,antibiotics,,mg,Doxycycline,500,Ciprofloxacin,500,Trimetho-sulfamet,625,Tablet,0,0,0,1,0,1,1,yes,,4-6 weeks,,,no,,no,,,,,,,,lift scrotum for atleast 2 days,wear athletic cup,apply cold pads,avoid lifting heavy objects,,,,,,,,,,Dr.Rama Devi,,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:8ec610b4-18fd-421b-ae23-e70ebe6917b4,,
Sebhoerrheic dermatitis ,rashes,dryness,"flakiness, peeling, or redness",dandruff,,,,,physical exam,biopsy,,,,,,,,,,antifungal,loprox,1%,ciprofloxacin,1%,ketoconazole,2%,betamethasone,0.12%,shampoo,0,0,0,1,0,0,1,yes,,7-10 days,,,no,,no,,,,,,,,get plenty of sunlight,take fish oil,take probiotics,use aloe vera that produce anti inflammatory action,,,,,,,,,,Dr.Rama Devi,,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:584263e1-0979-477f-9064-4cd0665601ee,,
Seasonal affective disorder,Having low energy,"Feeling depressed most of the day, nearly every day",Feeling sluggish or agitated,"Feeling hopeless, worthless or guilty",,,,,Physical exam,Lab tests,Psychological evaluation,DSM-5,,,,,,,,anti-anxiety,alpenzin,mg,bupropion,100,paroxetin,10,serttraline,50,tablet,0,0,0,1,0,1,1,yes,,3 weeks,,,no,,no,,,,,,,,learn how to manage stress,pychotherapy,meditattion,music or art therapy can relleive stress,,,,,,,,,,Dr.Rama Devi,,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:5cc50fb6-c769-4a6e-8f7f-755d09c37fbc,,
Sex problems ,Inability to become aroused,Lack of interest in or desire for sex,Pain with intercourse,,,,,,Physical exam,Blood tests,Psychological evaluation,,,,,,,,,sildenafil,viagra,mg,sildinafil,50,,,,,tablet,0,0,0,1,0,0,1,yes,,3 days,,,no,,no,,,,,,,,adress the organic issues,choose more appropriate time for sexual activity,communicate about sexual changes,,,improve physical function and endurance during sexual activity,,,,,,,,Dr. Rama Devi,,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:5cc50fb6-c769-4a6e-8f7f-755d09c37fbc,,
Sexual dysfunction ,Inability to become aroused,Lack of interest in or desire for sex,Pain with intercourse,,,,,,Physical exam,Blood tests,Psychological evaluation,,,,,,,,,sildenafil,viagra,mg,sildinafil,50,,,,,tablet,0,0,0,1,0,0,1,yes,,3 days,,,no,,no,,,,,,,,adress the organic issues,choose more appropriate time for sexual activity,,communicate about sexual changes,,improve physical function and endurance during sexual activity,,,,,,,,Dr.Rama Devi,,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:be4cbd12-2ce7-40e8-820a-57c8f8cb75ea,,
Seizures ,uncontrolled contraction of muscle,constant staring,unconscious,,,,,,serum prolactin level,EEG ,MRI,CT scan brain,,,,,,,,antiepileptic,valium,mg,diazepam,5,lorazepam,7,clonazepam,0.5,tablet,0,0,0,1,0,0,1,yes,,30 days,,,no,,no,,,,,,,,avoid alcohol,take ketogenic diet,driving is restricted,,nerve stimulation,,,,,,,,,Dr. Rama Devi,,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:8dbe894e-6c6a-46ef-a1f2-28f3223ce7a3,,
Sexually Transmitted diseases ,normally no symptoms,,,,,,,,blood antigen test,,,,,,,,,,,depends on conditions,alceftra,mg,ceftriaxone,250,azithromycin,500,acyclovir,400,tablet,0,0,0,1,0,0,1,yes,,7-10 days,,,no,,no,,,,,,,,avoid sexual contact,use condoms,regualar STD screening,,discuss about sexual history before contraception,,,,,,,,,Dr.Rama Devi,,https://clinicaltrials.gov/search/open/condition=%22Sexually+Transmitted+Diseases%22,,
Thyroid disease,fatigue,weight loss,heartburn,sweating and irritability,,,,,TSH TEST,T3 test,T4 test,thyroid antibody test,,,,,,,,hormones( levothyroxine),Levothroid,mcg,Levothyroxine sodium,25,,,,,tablet,1,0,0,0,0,0,1,yes,,2-3 weeks,,,yes,,yes,,,,,,,,"It is important to consume iodine when trying to lose weight, but restrict processed salt intake and opt for natural sources of iodine.",Check thyroid regularly.,"Eat selenium, tyrosine, and antioxidants rich food.",Stay away from sugar and caffeine,,,,,,,,,,,,https://drive.google.com/file/d/109MLOQ7XWglenzNhjY9jVrsCfgjGVagu/view?usp=sharing,,
Hypothyroidism and Hyperthyroidism,weight loss and weight gain,sweat ,heartburn,fatigue,,,,,Blood tests that measure thyroxine and thyroid-stimulating hormone (TSH),thyroid function test,,,,,,,,,,synthetic thyroid hormone levothyroxine,Levothroid,mcg,Levothyroxine sodium,25,,,,,tablet,1,0,0,0,0,0,1,yes,,2-3 weeks,,,yes,,yes,,,,,,,,No self-medication.,Say no to macronutrients.,Check thyroid regularly.,"It is important to consume iodine when trying to lose weight, but restrict processed salt intake and opt for natural sources of iodine.",,,,,,,,,,,,https://drive.google.com/file/d/109MLOQ7XWglenzNhjY9jVrsCfgjGVagu/view?usp=sharing,,
Thyroid cancer,pain in neck,enlarged lymph nodes,thyroid nodules,swelling,,,,,biopsy test,,,,,,,,,,, tyrosine kinase inhibitors.,Gleevec,mg,Imatinib mesylate,400,,,,,tablet,0,0,0,0,1,0,1,yes,,6-9months,100-400mg/day,,yes,,yes,,,,,,,,"Avoid direct contact of crushed tablets with the skin or mucous membranes. If such contact occurs, wash thoroughly",,,,,,,,,,,,,,,https://drive.google.com/file/d/1-EmVlhqSohqeqyX9XRkgu1idiABWaCUA/view?usp=sharing,,
Goiter,lump or swelling in neck,fast heart rate,weight gain,shortness of breath,,,,,radioactive iodine scan,,,,,,,,,,, corticosteroid,Tapazole,mg,Methimazole,15,,,,,tablet,0,0,0,1,0,0,1,yes,,6-8 weeks,,,yes,,yes,,,,,,,,Get enough Iodine through healthy diet.,,,,,,,,,,,,,,,https://drive.google.com/file/d/1-LTGF_rBGc6ux2QRHA4nKtczhI52MyHX/view?usp=sharing,,
Thyroidectomy,sore throat,pain in neck,Hypothyroidism,Hematoma,,,,,Cervical ultrasonography (US) ,,,,,,,,,,, hormones ( levothyroxine),thyronorm,mcg,levothyroxine,1.6,,,,,tablet,1,0,0,0,0,0,1,yes,,6-8weeks ,1.6mcg/kg/day,,yes,,yes,,,,,,,,"Take levothyroxine once a day in the morning, ideally at least 30 minutes before having breakfast or a drink containing caffeine, like tea or coffee. Food and caffeinated drinks can both stop your body taking in levothyroxine properly so it does not work as well.",,,,,,,,,,,,,,,https://www.thyroid.org/patient-thyroid-information/ct-for-patients/january-2020/vol-13-issue-1-p-3-4/,,
Tinea Versicolor ,patches in skin,color loss of skin,rashes,darkening of skin,,,,,simple skin tests.,,,,,,,,,,, imidazoles,oxistat,mg,oxiconazole nitrate,10,,,,,cream,0,0,0,1,1,1,3,yes,,1month,,,yes,,yes,,,,,Cream or Lotion should be applied to affected and immediately surrounding areas,,,,,,,,,,,,,,,,,,https://www.webmd.com/drugs/2/drug-11196/oxistat-topical/details,,
tinnitus,noise in the ears,buzzing ,roaring ,wistling,,,,,pitch match testing,loudness match testing,,,,,,,,,,antidepressants,elavil,mg,amitryptalin,75,,,,,tablet,0,0,0,0,0,1,1,yes,,1month,,,yes,,yes,,,,,,,,"Patients of all ages who are started on antidepressant therapy should be monitored appropriately and observed closely for clinical worsening, suicidality, or unusual changes in behavior. ",,,,,,,,,,,,,,,https://www.medicines.org.uk/emc/product/5698/smpc,,
fungal infections ,Tender or painful areas,bald spots,Patches of scaling,reddened areas,,,,,visual examination,Blood test,Light microscopy,biopsy,,,,,,,,griseofulvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skin ageing ,Wrinkles,skin loosening,lines and creases,,,,,,physical examination,,,,,,,,,,,Topical retinoids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenomyosis,Heavy or prolonged menstrual bleeding,dysmenorrhea,Chronic pelvic pain,Painful intercourse,,,,,pelvic exam,Ultrasound imaging of the uterus,Magnetic resonance imaging (MRI) of the uterus,,,,,,,,,ibuprofen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achalasia,"backflow of food in the throat (regurgitation), chest pain and weight loss.",heartburn ,difficulty swallowing,,,,,,Esophageal manometry,X-rays of your upper digestive system (esophagram),Upper endoscopy,,,,,,,,,calcium channel blockers (CCBs) and nitrates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anosmia,no longer smell identifiable odors.,,,,,,,,CT scan,MRI scan,,,,,,,,,,"fluoroquinolone antibiotic, antihistamines",Orpic TZ,mg,ciprofloxacin hydrochloride,500mg,tinidazole,600mg,,,tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hay fever,"sneezing, runny nose and red, watery and itchy eyes.","congestion, loss of smell, redness","coughing, fatigue, headache, itching, phlegm, or throat irritation",,,,,,Skin prick test,Allergy blood test,,,,,,,,,,antihistamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mayoclinic.org/diseases-conditions/hay-fever/diagnosis-treatment/drc-20373045,,
Meniere's disease,"spinning sensation (vertigo), hearing loss, ear ringing (tinnitus) and ear pressure",Hearing loss may become permanent.,feeling of fullness in the ear or ringing,,,,,,,,,,,,,,,,,anti vertigo agent,zevert 8mg,mg,betahistidine hydrochloric,8mg,,,,,tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acoustic neuroma,pins and needles or reduced sensation of touch,"balance disorder, dizziness, hearing loss, rapid involuntary eye movement, or ringing in the ears",,,,,,,Hearing test (audiometry),Stereotactic radiosurgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Jonathan Ashman,,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/diagnosis-treatment/drc-20356132,,
Otitis media,"pain in the ear, fever, loss of appetite, or vertigo",inflammation or ringing,"crying, headache, nasal congestion, or nausea",,,,,,,,,,,,,,,,,"penicillin-like , β-lactam antibiotic. ",moxina CV 375,mg,amoxicillin trihydrate,250 mg,potassium clavulanate diluted,124mg,,,tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbycusis,Other people's speech sounds mumbled or slurred.,Some sounds seem very loud and annoying.,"Having trouble understanding conversations, often when there is background noise.

",Having trouble hearing high-pitched sounds.,,,,,otoscope is used to check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinus Cancer,"Blocked sinuses that do not clear, or sinus pressure.",Headaches or pain in the sinus areas.,"A runny nose, Nosebleeds.",A lump or sore inside the nose that does not heal,lump on the face or roof of the mouth.,,,,biopsy,,,,,,,,,,,anti cancer ,Efudex,mg/mt^2,5 flurouracil ,750mg/mt^2,,,,,Intravenous ,,,,Yes,,,180 mins for 4 days ,,Day 1-4 of each cycle ,Cycle is repeated every 21 days ,750-1000mg/mt^2,,Yes,,Yes,,,,,,,,Inform your doctor about other medications and disease history. ,To be taken under medical supervision.,,,,,,,,,,,,,,https://clinicaltrials.gov/ct2/show/NCT00707473,,
Usher Syndrome," deafness or hearing loss, ",Loss of night vision and side (peripheral) vision,Balance problems,,,,,,Dilated eye exam,hearing test,balance test,genetic test,,,,,,,,Vitamin A supplements,Retinyl palmitate,IU,Palmitate form of vitamin A,"15,000 IU",,,,,Tablet ,,,,,Yes,,Once a day ,Yes,,1 month or as per disease progression ,"15,000 IU tablet ",,Yes,,Yes,,,,,Take as per the dose prescribed. Do not overdose ,,,Not to be taken in case of type 1 usher syndrome . ,,,,,,,,,,,,,,,https://drive.google.com/file/d/1PJicYk4GFvBxboUYDt8CpFjLyumzv9z4/view?usp=drivesdk,,
Nasal Cancer,"Difficulty breathing through your nose, Loss of the sense of smell.","Facial swelling or pain, A sore or lesion on the roof of your mouth.","Watery eyes, Discharge from your nose",,,,,,biopsy,PET scan,CT scan,,,,,,,,,anti cancer,taxotere,mg/ml,docetaxel,20mg/ml,,,,,intravenous,,,,,yes,,1 hour every 3 weeks ,,yes,every 3 weeks ,20 mg/ml,,yes,,yes,,,,,given by physician ,,,"Get emergency medical help if you have hives, a red skin rash, trouble breathing, if you feel like you might pass out, or if you have swelling of your face, lips, tongue, or throat.",,,,,,,,,,,,,Dr. Rajesh Mishty,,https://clinicaltrials.gov/ct2/show/NCT00707473,,
Throat cancer,"enlarged neck lymph nodes, hoarseness, or mouth ulcer",,,,,,,,Imaging tests,Removing a tissue sample for testing,Using a scope to get a closer look at your throat. ,,,,,,,,,monoclonal antibodies,opdivo,mg/ml,nivolumab ,10mg/ml,,,,,intravenous,,,,yes,,,4 doses,,yes,once every 3 weeks ,10mg/ml,,yes,,yes,,,,,alone or in combination with ipilimumab ,,,"The amount of nivolumab that you will receive depends on many factors, your general health or other health problems, and the type of cancer or condition being treated.",,,,,,,,,,,,,Dr. Ashok Mehta,https://medlineplus.gov/druginfo/meds/a614056.html,https://www.mayoclinic.org/diseases-conditions/throat-cancer/diagnosis-treatment/drc-20366496,,
Barotrauma,"Feeling of pressure in the ear, Feeling like you have a blocked ear","Ear pain, Dizziness, Bleeding from the ears or into the middle ear.",Hearing loss.,,,,,,physical exam,,,,,,,,,,,NSAID,tricort,mg,triamcinolone,4mg,,,,,tablets,,,,,yes,,one tablet per day,yes,,10,500mg,,no,,no,,,,,"Swallow it as a whole. Do not chew, crush or break it. Tricort Tablet is to be taken with food.",,,"This drug is not recommended during pregnancy and before taking this medicine, let your doctor know if you have any liver or kidney problems.",,,,,,,,,,,,,Dr. Ajay Bhalla,,https://www.webmd.com/a-to-z-guides/ear-barotrauma-facts,,
Scarlet fever,"bright-red rash that covers most of the body, a sore throat and a high fever.","red rashes, peeling, roughness, red spots, or red lines in skin folds","fever, flushing, or malaise",,,,,,rapid strep test ,,,,,,,,,,,Penicillin or amoxicillin ,penicillin VK,mg,penicillin V Potassium,500 mg,,,,,tablets,,,,yes,yes,,4 times a day,yes,,,,,no,,no,,,,,swallow it as a whole,,,"tell your doctor if you are pregnant, plan to become pregnant, or are breastfeeding. If you become pregnant while taking penicillin V potassium, call your doctor.",,,,,,,,,,,,,Dr. D. Raj Madhangi ,,https://medlineplus.gov/druginfo/meds/a685015.html,,
